1	1	2	550000.00	fixed	enabled
2	1	3	500000.00	fixed	enabled
3	1	4	650000.00	fixed	enabled
4	1	5	700000.00	fixed	enabled
5	1	6	580000.00	fixed	enabled
6	1	10	320000.00	fixed	enabled
7	1	11	29000.00	fixed	enabled
8	1	12	2500000.00	fixed	enabled
9	1	13	2700000.00	fixed	enabled
10	1	16	9200000.00	fixed	enabled
11	1	18	16000000.00	fixed	enabled
12	2	3	470000.00	fixed	enabled
13	2	7	250000.00	hourly	enabled
14	2	5	750000.00	fixed	enabled
15	2	1	350000.00	fixed	enabled
16	2	9	520000.00	fixed	enabled
17	2	8	420000.00	fixed	enabled
18	2	11	29000.00	fixed	enabled
19	2	15	3400000.00	fixed	enabled
20	2	14	8500000.00	fixed	enabled
21	2	17	17000000.00	fixed	enabled
22	2	19	18000000.00	fixed	enabled
23	5	1	320000.00	fixed	enabled
24	5	3	450000.00	fixed	enabled
25	5	6	550000.00	fixed	enabled
26	5	8	400000.00	fixed	enabled
27	6	2	525000.00	fixed	enabled
28	6	4	625000.00	fixed	enabled
29	6	7	925000.00	fixed	enabled
30	6	10	325000.00	fixed	enabled
31	7	3	500000.00	fixed	enabled
32	7	5	750000.00	fixed	enabled
33	7	9	550000.00	fixed	enabled
34	7	11	79000.00	fixed	enabled
35	8	4	675000.00	fixed	enabled
36	8	6	625000.00	fixed	enabled
37	8	8	475000.00	fixed	enabled
38	8	14	8375000.00	fixed	enabled
39	9	5	800000.00	fixed	enabled
40	9	7	1000000.00	fixed	enabled
41	9	10	400000.00	fixed	enabled
42	9	15	3300000.00	fixed	enabled
43	10	6	550000.00	fixed	enabled
44	10	9	500000.00	fixed	enabled
45	10	11	29000.00	fixed	enabled
46	10	16	8900000.00	fixed	enabled
47	11	7	910000.00	fixed	enabled
48	11	8	410000.00	fixed	enabled
49	11	14	8310000.00	fixed	enabled
50	11	2	510000.00	fixed	enabled
51	12	9	535000.00	fixed	enabled
52	12	10	335000.00	fixed	enabled
53	12	15	3235000.00	fixed	enabled
54	12	3	485000.00	fixed	enabled
55	13	8	460000.00	fixed	enabled
56	13	11	89000.00	fixed	enabled
57	13	16	8960000.00	fixed	enabled
58	13	4	660000.00	fixed	enabled
59	14	10	385000.00	fixed	enabled
60	14	14	8385000.00	fixed	enabled
61	14	1	405000.00	fixed	enabled
62	14	5	785000.00	fixed	enabled
63	15	11	29000.00	fixed	enabled
64	15	15	3185000.00	fixed	enabled
65	15	2	485000.00	fixed	enabled
66	15	6	535000.00	fixed	enabled
67	16	14	8310000.00	fixed	enabled
68	16	16	8910000.00	fixed	enabled
69	16	3	460000.00	fixed	enabled
70	16	7	910000.00	fixed	enabled
71	17	15	3220000.00	fixed	enabled
72	17	1	340000.00	fixed	enabled
73	17	4	620000.00	fixed	enabled
74	17	8	420000.00	fixed	enabled
75	18	16	8945000.00	fixed	enabled
76	18	2	545000.00	fixed	enabled
77	18	5	745000.00	fixed	enabled
78	18	10	345000.00	fixed	enabled
79	19	1	390000.00	fixed	enabled
80	19	3	520000.00	fixed	enabled
81	19	6	620000.00	fixed	enabled
82	19	11	99000.00	fixed	enabled
83	20	2	470000.00	fixed	enabled
84	20	4	570000.00	fixed	enabled
85	20	7	870000.00	fixed	enabled
86	20	14	8270000.00	fixed	enabled
87	21	3	445000.00	fixed	enabled
88	21	5	695000.00	fixed	enabled
89	21	9	495000.00	fixed	enabled
90	21	15	3195000.00	fixed	enabled
91	22	4	620000.00	fixed	enabled
92	22	6	570000.00	fixed	enabled
93	22	8	420000.00	fixed	enabled
94	22	16	8920000.00	fixed	enabled
95	23	5	775000.00	fixed	enabled
96	23	7	975000.00	fixed	enabled
97	23	10	375000.00	fixed	enabled
98	23	2	575000.00	fixed	enabled
99	24	6	650000.00	fixed	enabled
100	24	9	600000.00	fixed	enabled
101	24	11	129000.00	fixed	enabled
102	24	3	550000.00	fixed	enabled
103	25	7	900000.00	fixed	enabled
104	25	8	400000.00	fixed	enabled
105	25	14	8300000.00	fixed	enabled
106	25	4	600000.00	fixed	enabled
107	26	9	525000.00	fixed	enabled
108	26	10	325000.00	fixed	enabled
109	26	15	3225000.00	fixed	enabled
110	26	5	725000.00	fixed	enabled
111	27	8	450000.00	fixed	enabled
112	27	11	79000.00	fixed	enabled
113	27	16	8950000.00	fixed	enabled
114	27	6	600000.00	fixed	enabled
115	28	10	375000.00	fixed	enabled
116	28	14	8375000.00	fixed	enabled
117	28	1	395000.00	fixed	enabled
118	28	7	975000.00	fixed	enabled
119	29	11	114000.00	fixed	enabled
120	29	15	3285000.00	fixed	enabled
121	29	2	585000.00	fixed	enabled
122	29	8	485000.00	fixed	enabled
123	30	14	8285000.00	fixed	enabled
124	30	16	8885000.00	fixed	enabled
125	30	3	435000.00	fixed	enabled
126	30	10	285000.00	fixed	enabled
127	31	15	3210000.00	fixed	enabled
128	31	1	330000.00	fixed	enabled
129	31	4	610000.00	fixed	enabled
130	31	11	39000.00	fixed	enabled
131	32	16	8935000.00	fixed	enabled
132	32	2	535000.00	fixed	enabled
133	32	5	735000.00	fixed	enabled
134	32	14	8335000.00	fixed	enabled
135	33	1	380000.00	fixed	enabled
136	33	3	510000.00	fixed	enabled
